osmid,street_count,highway,ref,geometry,casino_osmid,casino_dist
1746791715,4,,,POINT (-76.9718769 -12.0500029),560845933,0.007385078710060155
4442189087,4,,,POINT (-76.95120850000001 -12.1399672),437647280,0.021189315799428465
1758293288,4,,,POINT (-77.1356378 -11.8438923),435198459,0.06310401889511927
1345350954,3,,,POINT (-76.9888562 -11.9343835),437508602,0.013679423874017722
1381395757,3,,,POINT (-77.0939296 -11.9499813),4366593002,0.019106053018087165
1359113517,3,,,POINT (-77.0935813 -11.9853021),4317633503,0.021018444409140163
1758293297,3,,,POINT (-77.1276743 -11.8439966),435198459,0.05566708945170945
1746791729,4,,,POINT (-76.9711385 -12.0517306),560845933,0.006125352029061084
817655091,3,,,POINT (-77.0548864 -12.0742316),435391634,0.0017312936224062945
391015732,3,,,POINT (-77.022672 -12.1363316),435838405,0.004681041396124358
386854197,4,,,POINT (-76.9815191 -12.1291172),437346725,0.0012787105096909585
9563729206,3,,,POINT (-77.0304871 -11.8848339),4336173733,0.015877755557064367
1359113528,3,,,POINT (-77.0924462 -11.9855986),4317633503,0.01987549543030703
5059046713,4,,,POINT (-77.1559814 -11.8385719),435198459,0.08405311358491138
5059046712,4,,,POINT (-77.1602448 -11.8390213),435198459,0.08795808340866502
5059046716,3,,,POINT (-77.1543774 -11.8358281),435198459,0.08348531939968488
5059046717,3,,,POINT (-77.1546896 -11.8373336),435198459,0.08324869120156853
5059046718,3,,,POINT (-77.15239130000001 -11.8348097),435198459,0.08201561953463543
5059046719,3,,,POINT (-77.15272419999999 -11.8361622),435198459,0.08182312783799867
386854209,4,,,POINT (-76.9871771 -12.1215146),437490954,0.005809254530074036
386854220,4,traffic_signals,,POINT (-76.9925071 -12.1130811),437484109,0.0006574297254231023
1359113551,3,,,POINT (-77.0905941 -11.9860651),4317633503,0.01802744464255384
2144234833,3,,,POINT (-77.0112239 -12.0778089),438012630,0.01122346139414897
3951062361,3,,,POINT (-77.05734820000001 -11.9129129),436480411,0.023127089111712115
1359113565,3,,,POINT (-77.0901394 -11.9861787),4317633503,0.0175762251729472
1381395805,3,,,POINT (-77.0920855 -11.9503149),4366593002,0.017910716717092635
3555356004,4,,,POINT (-77.0238365 -12.0425262),4384740080,0.0055536720762072505
1241378149,4,,,POINT (-77.03991310000001 -11.8982789),4336173733,0.0010883152714287025
2941283684,4,traffic_signals,,POINT (-77.02988740000001 -11.8839034),4336173733,0.016984568621246077
1381395815,3,,,POINT (-77.09379149999999 -11.950349),4366593002,0.018720629952272996
263384425,4,,,POINT (-77.0570795 -12.0937906),4343579376,0.003769451054197606
817655147,3,,,POINT (-77.0541022 -12.0732671),435391634,0.002237321835956342
629042541,4,,,POINT (-77.1293471 -12.0601792),435879639,0.03291796057490831
4293258610,3,,,POINT (-77.0408292 -12.0462127),435522157,0.008684359557826251
4374457718,3,,,POINT (-76.98265739999999 -12.1485069),437511292,0.011503386102343693
263384439,4,traffic_signals,,POINT (-77.0658342 -12.0898595),518155774,0.004930332587669823
1381395835,3,,,POINT (-77.0908474 -11.9507006),4366593002,0.01702848374518575
