osmid,street_count,highway,ref,geometry,university_osmid,university_dist
1753050067,3,,,POINT (-76.9513073 -12.1677912),512632035,0.02910654620872737
6534556630,4,,,POINT (-76.83215319999999 -12.316634),445592484,0.08409678247328793
6534556634,4,,,POINT (-76.83196390000001 -12.3169122),445592484,0.08442476251766248
1870228445,3,,,POINT (-77.0441716 -12.0289604),12280616,0.01090774798921225
6534556638,4,,,POINT (-76.83113350000001 -12.3181392),445592484,0.08587044727071501
599288798,4,,,POINT (-77.08718450000001 -12.0134871),70650383,0.026794386943733896
817654752,3,,,POINT (-77.0483942 -12.0619871),435387209,0.00766814156099598
6534556641,4,,,POINT (-76.83130730000001 -12.3178818),445592484,0.08556721695518084
599288801,4,,,POINT (-77.0880939 -12.0138034),70650383,0.027741245466799982
1758292963,4,,,POINT (-77.13554019999999 -11.8355355),621763280,0.12536944550627102
817654760,3,,,POINT (-77.0480606 -12.0619529),435387209,0.007723980596449121
1836215276,3,,,POINT (-77.0705809 -12.06783),73952076,0.003898713028050702
1573383152,3,,,POINT (-76.966134 -12.1694934),512632035,0.023833390345692897
1758292976,4,,,POINT (-77.1355571 -11.8358939),621763280,0.12509733700649542
1753050098,3,,,POINT (-76.9504673 -12.168723),512632035,0.030361071438285578
1758292985,4,,,POINT (-77.1355741 -11.8362558),621763280,0.12482297563561814
769223673,4,,,POINT (-77.0628337 -11.9650962),405584317,0.004678527437524982
769223675,4,,,POINT (-77.0597954 -11.9553165),405584317,0.008095129481740071
1305701371,3,,,POINT (-77.0598055 -11.9546358),220415161,0.00850239459303743
769223676,4,,,POINT (-77.0576386 -11.9559723),405584317,0.009329284021196817
769223678,4,,,POINT (-77.06451010000001 -11.9557771),220415161,0.003866958799453312
4337626111,3,,,POINT (-77.1149769 -12.0540994),4715723427,0.02937755411960125
769223680,4,traffic_signals,,POINT (-77.0607686 -11.9459404),438893627,0.011575322271227952
1273785344,3,,,POINT (-77.06508100000001 -12.0624807),4431450131,0.007503729070271691
4288572418,3,,,POINT (-77.0364277 -11.8494235),285827604,0.0818420041788766
4739132419,3,,,POINT (-76.9576587 -12.158192),512632035,0.017796871916169146
769223684,4,,,POINT (-77.0601796 -11.9423202),621763280,0.008070382973463547
769223685,4,,,POINT (-77.0982498 -12.0169165),4710755590,0.03719699817633454
2761518084,4,traffic_signals,,POINT (-76.9899288 -12.1532663),512632035,0.02049805076438661
2761518087,3,,,POINT (-76.9889661 -12.1533991),512632035,0.019647792773981203
549088263,3,,,POINT (-77.06395449999999 -11.9619118),405584317,0.0016084031924610122
4288572423,3,,,POINT (-77.03576820000001 -11.8499113),285827604,0.08104189318667326
769223681,4,,,POINT (-77.060075 -11.9643509),405584317,0.006186711511841121
769223688,4,,,POINT (-77.0644879 -11.9559368),220415161,0.00392343676035663
769223693,4,,,POINT (-77.0602243 -11.9424396),621763280,0.008196527370768841
769223694,4,,,POINT (-77.05980099999999 -11.9554547),405584317,0.007991794765486868
1273523215,4,,,POINT (-76.9504898 -12.1449091),512632035,0.02026766030356541
