u,v,key,osmid,oneway,lanes,highway,maxspeed,length,geometry,name,bridge,ref,tunnel,junction,access
316627523,316627529,0,1183592688,True,2,secondary,60,120.39699999999999,"LINESTRING (-77.0085121 -12.1087258, -77.0082082 -12.1087148, -77.00791630000001 -12.1088071, -77.0077709 -12.1089847, -77.0077098 -12.1090949, -77.0076838 -12.1091469, -77.0076552 -12.1092162)",Avenida José Galvez Barrenechea,,,,,
316627529,5599098090,0,1183592688,True,2,secondary,60,7.713,"LINESTRING (-77.0076552 -12.1092162, -77.0076407 -12.1092841)",Avenida José Galvez Barrenechea,,,,,
316627530,1759671781,0,344565808,True,2,primary,60,107.755,"LINESTRING (-77.00728290000001 -12.1121488, -77.00734420000001 -12.112154, -77.0082716 -12.1122164)",Avenida Angamos Este,,,,,
316627673,316627529,0,1095035950,True,,tertiary,40,13.054,"LINESTRING (-77.00753829999999 -12.1091894, -77.0076552 -12.1092162)",Avenida Ricardo Malachowsky,,,,,
316627673,316627675,0,1098030634,True,2,secondary,60,54.977000000000004,"LINESTRING (-77.00753829999999 -12.1091894, -77.00756459999999 -12.1091165, -77.007637 -12.1089158, -77.00777650000001 -12.1087637)",Avenida José Galvez Barrenechea,,,,,
316627675,412529888,0,35170644,True,,residential,30,38.568,"LINESTRING (-77.00777650000001 -12.1087637, -77.0078657 -12.1086562, -77.007892 -12.1086156, -77.00791 -12.1085794, -77.0079471 -12.1084649)",Jirón Claudio Galeno,,,,,
316627675,316627676,0,1183592689,True,2,secondary,60,44.775,"LINESTRING (-77.00777650000001 -12.1087637, -77.0079374 -12.1086536, -77.0081412 -12.1085853)",Avenida José Galvez Barrenechea,,,,,
316627676,4354035770,0,1183592689,True,2,secondary,60,73.123,"LINESTRING (-77.0081412 -12.1085853, -77.0083377 -12.1085853, -77.00849530000001 -12.1085853, -77.00858839999999 -12.1085872, -77.0086785 -12.1085948, -77.0088131 -12.1086039)",Avenida José Galvez Barrenechea,,,,,
316627682,412529893,0,35172848,False,,residential,,115.296,"LINESTRING (-77.0102495 -12.1078458, -77.0092088 -12.1076465)",Jirón Rutherford,,,,,
316627682,4354022565,0,438901955,True,2,secondary,60,68.708,"LINESTRING (-77.0102495 -12.1078458, -77.01033150000001 -12.1076226, -77.0103711 -12.1075147, -77.0103939 -12.1073991, -77.0104011 -12.1073624, -77.0104065 -12.107335, -77.0104226 -12.1072534)",Avenida José Galvez Barrenechea,,,,,
326021261,6408227575,0,357946225,True,,residential,40,60.349,"LINESTRING (-77.00395949999999 -12.1066784, -77.00353 -12.1070222)",Avenida Paul Linder Lob,,,,,
326021261,3903819663,0,128089669,False,,residential,,10.178999999999998,"LINESTRING (-77.00395949999999 -12.1066784, -77.0039517 -12.1066671, -77.0039179 -12.1066184, -77.003907 -12.1066026)",Calle Luis Graña,,,,,
326021261,473974863,0,"[128089669, 128089671]",False,,residential,40,236.84799999999998,"LINESTRING (-77.00395949999999 -12.1066784, -77.0039867 -12.1067123, -77.0041532 -12.10692, -77.0042974 -12.1070998, -77.0046102 -12.1074997, -77.00461369999999 -12.1075268, -77.0046014 -12.1075541, -77.00437909999999 -12.1077267, -77.00435090000001 -12.1077501, -77.00410100000001 -12.1079571, -77.0039021 -12.1081209, -77.00378809999999 -12.1082148)","['Calle Luis Graña', 'Calle Jorge Muelle']",,,,,
326022171,412528324,0,437653357,True,,residential,40,41.247,"LINESTRING (-77.0059255 -12.1057881, -77.0063047 -12.1057767)",Jirón Eduardo Ordoñez,,,,,
326022171,412529880,0,35170640,False,2,residential,40,186.389,"LINESTRING (-77.0059255 -12.1057881, -77.0059412 -12.106142, -77.0059535 -12.1061944, -77.0059717 -12.1062392, -77.00598909999999 -12.1062706, -77.00601260000001 -12.106301, -77.00606519999999 -12.1063457, -77.00612289999999 -12.1063819, -77.0065014 -12.1066194, -77.0069932 -12.1069279)",Jirón Claudio Galeno,,,,,
391036716,4267410213,0,149297892,True,2,secondary,40,61.218,"LINESTRING (-76.9903303 -12.1028605, -76.9902994 -12.1028778, -76.9898407 -12.1031324)",Avenida de la Floresta,,,,,
391036716,392149147,0,454528178,True,2,tertiary,40,69.182,"LINESTRING (-76.9903303 -12.1028605, -76.99035569999999 -12.1029142, -76.9905996 -12.1034242)",Avenida Boulevard de Surco,,,,,
391036721,391037975,0,782772077,False,,residential,,15.85,"LINESTRING (-76.99216970000001 -12.1014432, -76.9920735 -12.1013361)",Jirón Franz Schubert,,,,,
391036721,417250731,0,35600934,False,,residential,,65.273,"LINESTRING (-76.99216970000001 -12.1014432, -76.9923914 -12.1016759, -76.99260049999999 -12.1018507)",Jirón Franz Schubert,,,,,
391036721,391036716,0,782772079,True,2,secondary,40,254.947,"LINESTRING (-76.99216970000001 -12.1014432, -76.99131319999999 -12.1021596, -76.99127799999999 -12.102189, -76.9910771 -12.102357, -76.9903961 -12.1028171, -76.9903303 -12.1028605)",Avenida San Borja Sur,,,,,
391036734,392152315,0,782776577,True,2,secondary,40,16.537,"LINESTRING (-76.9945542 -12.1005602, -76.9945804 -12.1004137)",Avenida San Luis,,,,,
391036734,417251152,0,394729794,True,2,secondary,40,79.201,"LINESTRING (-76.9945542 -12.1005602, -76.9945015 -12.1005652, -76.99443359999999 -12.1005716, -76.994208 -12.1005928, -76.9940156 -12.1006147, -76.9938339 -12.1006577)",Avenida San Borja Sur,,,,,
