index1;u;v;wazeinfo
152167;938883957;938883942;(0.13333333333333333, 0.036)
152170;938883958;883962362;(-1, -1)
76026;5559416922;11055958675;(0.1, 0.074)
76027;5559416922;5559416920;(0.0, 0.0)
76030;5559416923;5559416950;(0.15, 0.056)
377;495327729;1273453475;(0.6333333333333333, 0.074)
205226;1381254583;1381254610;(0.0, 0.0)
380;495328322;1273869621;(0.0, 0.004)
382;495328322;5489175983;(-1, -1)
205228;1381254583;1381254581;(0.03333333333333333, 0.004)
281878;5396165913;4363722864;(0.0, 0.0)
205235;1381254591;1381254596;(-1, -1)
346278;1845880574;4605148266;(2.183333333333333, 0.961)
346283;1845880575;6101426252;(0.35, 0.108)
346284;1845880575;1845880574;(0.2, 0.107)
383;495328448;6302385091;(0.0, 0.0)
387;495329881;1932466053;(0.2, 0.042)
205236;1381254593;1381254613;(0.0, 0.0)
205238;1381254593;1381254601;(0.43333333333333335, 0.156)
152172;938883958;1235100365;(0.25, 0.039)
205247;1381254606;1381254574;(-1, -1)
346285;1845907974;1756324251;(0.0, 0.001)
205248;1381254606;1381254609;(-1, -1)
152174;938883959;938883964;(0.0, 0.001)
346288;1845907976;5490836284;(0.0, 0.002)
76039;5559416925;5559416924;(0.016666666666666666, 0.005)
205254;1381254610;1381254627;(0.0, 0.002)
76045;5559416934;5559416902;(-1, -1)
205255;1381254612;1381254588;(0.1, 0.052)
152175;938883959;938883948;(0.11666666666666667, 0.033)
205258;1381254612;1381254613;(-1, -1)
152179;938883962;938883967;(-1, -1)
281879;5396165913;4363715778;(0.016666666666666666, 0.008)
76051;5559416936;5559416950;(0.2833333333333333, 0.106)
76052;5559416936;11056038561;(0.23333333333333334, 0.085)
346293;2117979315;5589324858;(0.0, 0.003)
388;495329881;1932466082;(0.1, 0.035)
205260;1381254613;1381254612;(0.0, 0.0)
76053;5559416938;5559416942;(0.15, 0.117)
205264;1381254616;1381254620;(0.6, 0.12)
76058;5559416950;5559416923;(-1, -1)
205269;1381254620;1381254625;(0.016666666666666666, 0.001)
76067;5559416978;5559416923;(-1, -1)
76076;5559840164;4441537993;(-1, -1)
76077;5559930363;8899764563;(3.95, 1.02)
76080;5559987131;1755030421;(-1, -1)
346295;2141813098;5534658748;(0.9333333333333333, 0.342)
346302;2182637023;5122745678;(0.5166666666666667, 0.148)
394;495329951;495329957;(0.06666666666666667, 0.022)
401;495330379;1831352570;(0.16666666666666666, 0.045)
152180;938883962;938883946;(0.55, 0.036)
281883;5396167026;4396432163;(0.1, 0.05)
281890;5396196922;1753892110;(-1, -1)
205271;1381254621;1381254612;(0.23333333333333334, 0.054)
205273;1381254621;1381254623;(1.4, 0.209)
205285;1381254627;1381254625;(0.0, 0.004)
205291;1381254629;1381254622;(-1, -1)
205312;1381254642;1381254655;(0.0, 0.0)
205317;1381254643;1381254644;(0.21666666666666667, 0.054)
346306;2182637032;3042206945;(0.15, 0.04)
76084;5559987135;5022517743;(0.6166666666666667, 0.213)
76085;5559995963;10988617034;(4.366666666666666, 1.015)
205319;1381254644;1381254643;(0.0, 0.0)
76096;5603369950;3719086258;(-1, -1)
152181;938883962;1235100334;(0.0, 0.001)
76098;5603369950;11070594431;(0.5666666666666667, 0.394)
152188;938883964;938883954;(0.0, 0.001)
152189;938883964;938883943;(-1, -1)
76119;5615223442;5615223444;(0.2833333333333333, 0.152)
76125;5615223477;4751760956;(0.3, 0.12)
346319;2182645468;1273497946;(0.18333333333333332, 0.05)
346320;2182645468;2364567963;(0.0, 0.002)
346325;2182650513;863519178;(0.18333333333333332, 0.088)
346330;2182659330;2182659337;(-1, -1)
281896;5396196925;1273606235;(0.3, 0.118)
346336;2187560694;1768569902;(0.1, 0.04)
404;495330845;6302385106;(0.03333333333333333, 0.023)
205325;1381254647;4274224219;(0.0, 0.002)
205335;1381254655;1381254656;(-1, -1)
409;495331620;1932466099;(0.0, 0.005)
205336;1381254655;1381254642;(0.4, 0.047)
411;495332969;1932466258;(-1, -1)
346338;2187589749;2866930481;(1.4333333333333333, 0.366)
346342;2187589754;2866680476;(-1, -1)
346350;2187629817;9028418981;(-1, -1)
346354;2187629820;1767758186;(1.0, 0.286)
346359;2216447675;1768569965;(-1, -1)
76144;5667952244;7073879328;(0.0, 0.0)
346361;2216447675;1768570020;(0.7833333333333333, 0.172)
346369;2342825842;2342825854;(-1, -1)
205342;1381254657;1381254649;(0.016666666666666666, 0.006)
346371;2342825854;10735603487;(0.05, 0.022)
346373;2342825854;2342825842;(-1, -1)
205344;1381254658;1379780034;(1.4, 0.16)
205352;1381254662;1381254664;(-1, -1)
205361;1381254667;1379780013;(0.0, 0.001)
152193;938883965;938883943;(0.6, 0.07)
152210;941476158;1359845419;(0.0, 0.003)
76147;5673121970;5673121969;(0.0, 0.0)
152211;941476158;941476183;(0.85, 0.099)
152213;941476159;135449855;(-1, -1)
76159;5712313465;1672924365;(0.5166666666666667, 0.037)
152223;941476163;421081387;(-1, -1)
76164;5712313509;445264270;(0.0, 0.0)
76166;5712313509;5712313512;(-1, -1)
281900;5396196931;5467999290;(0.0, 0.003)
281902;5396196931;1273510524;(-1, -1)
205368;1381254672;1379780028;(1.1333333333333333, 0.32)
205374;1381268449;1381268484;(0.0, 0.0)
346378;2343028836;1756238499;(1.35, 0.311)
413;495332981;10996342854;(0.08333333333333333, 0.053)
281903;5396196931;1273870334;(0.0, 0.005)
281905;5396196933;1273510524;(-1, -1)
281907;5396196954;1273517314;(0.0, 0.001)
152238;941476168;421084524;(0.0, 0.001)
281917;5396224694;1781236672;(0.05, 0.003)
152240;941476169;4263221290;(-1, -1)
281921;5396254805;1273677674;(0.0, 0.003)
