osmid,highway,street_count,geometry,NN,NN_dist
308131937,,3,POINT (-77.0697349 -12.0905218),308131937,0.0
308131942,,3,POINT (-77.0700428 -12.0906841),308131942,0.0
308131943,,3,POINT (-77.07011199999999 -12.0906605),308131943,0.0
316801727,traffic_signals,4,POINT (-77.0716279 -12.0965559),316801727,0.0
316801728,traffic_signals,4,POINT (-77.0718665 -12.0971215),316801728,0.0
316808071,,3,POINT (-77.06067299999999 -12.1064944),262727975,0.004193318003678362
316808082,,3,POINT (-77.0690972 -12.1004969),606182861,0.0023248614259793665
316809217,,4,POINT (-77.0721676 -12.0963641),316809217,0.0
316809277,,4,POINT (-77.07223879999999 -12.0963388),316809277,0.0
316809318,,3,POINT (-77.06985640000001 -12.0901887),316809318,0.0
380908323,,3,POINT (-77.0666684 -12.0905114),380908323,0.0
380908330,,4,POINT (-77.0695905 -12.089452),380908330,0.0
380908333,,4,POINT (-77.06965340000001 -12.0894289),380908333,0.0
380908337,,4,POINT (-77.07172629999999 -12.0886911),380908337,0.0
380936036,,4,POINT (-77.0728063 -12.0916183),380936036,0.0
380936041,,4,POINT (-77.0731779 -12.0926351),380936041,0.0
380936045,,4,POINT (-77.074225 -12.0922616),380936045,0.0
380936049,,4,POINT (-77.0752189 -12.0918978),380936049,0.0
409478730,,4,POINT (-77.07559019999999 -12.0928948),409478730,0.0
593898374,,4,POINT (-77.0676465 -12.0901816),593898374,0.0
593898375,,4,POINT (-77.06861480000001 -12.0898066),593898375,0.0
593898376,,6,POINT (-77.0706788 -12.0890421),593898376,0.0
593898377,,4,POINT (-77.0727545 -12.0883163),593898377,0.0
605041156,,4,POINT (-77.0710679 -12.0934048),605041156,0.0
605041157,,4,POINT (-77.0706849 -12.0923884),605041157,0.0
605041158,,4,POINT (-77.0707518 -12.0923643),605041158,0.0
605041159,,4,POINT (-77.07113750000001 -12.093382),605041159,0.0
605041161,,4,POINT (-77.0748404 -12.0908896),605041161,0.0
605041162,traffic_signals,4,POINT (-77.0687807 -12.0930971),605041162,0.0
605041174,traffic_signals,4,POINT (-77.06948300000001 -12.093946),605041174,0.0
605673300,,3,POINT (-77.06523230000001 -12.0887877),632683116,0.0011101943793725881
605673306,,4,POINT (-77.06589080000001 -12.0885555),4347743565,0.0012014996795668195
605673311,,4,POINT (-77.06787850000001 -12.0878463),2026775448,0.001024186711490858
