source;target;wazeinfo0800_km;wazeinfo1400_minutes;wazeinfo1400_km;wazeinfo0800_minutes
5600979126;5518020471;5.003999999999998;13.700000000000001;4.996999999999999;15.100000000000005
5600979126;31003258;5.265999999999998;13.333333333333337;5.2669999999999995;13.083333333333341
5600979126;966367423;5.467999999999999;13.716666666666672;5.469;13.70000000000001
3251923139;3076194081;3.2469999999999986;8.55;3.2469999999999986;8.766666666666666
3251923139;1008299810;0.6510000000000001;1.5333333333333332;0.6510000000000001;1.4666666666666668
3251923139;30983335;0.588;2.35;0.588;2.216666666666667
3251923139;30964904;;;;
3251923139;4590287367;1.484;5.300000000000001;1.484;5.233333333333333
3251923139;1004136874;3.9549999999999983;11.933333333333335;3.9549999999999983;11.850000000000003
3251923139;30984135;0.8730000000000001;1.9666666666666666;0.8730000000000001;1.9500000000000002
3251923139;444056879;1.023;3.8666666666666667;1.023;3.9666666666666672
3251923139;438566223;4.302999999999996;11.799999999999999;4.302999999999996;12.333333333333334
3251923139;993167921;0.955;3.7333333333333334;0.955;3.8500000000000005
3251923139;31003285;1.7220000000000002;4.8;2.7;3.783333333333333
3251923139;5518020471;0.5870000000000001;1.6833333333333333;0.5870000000000001;1.5333333333333334
3251923139;31003258;1.5510000000000002;3.5;1.5510000000000002;3.45
3251923139;966367423;1.4100000000000001;3.15;1.4100000000000001;3.1166666666666676
31000774;3076194081;4.317999999999998;10.933333333333334;4.3169999999999975;11.400000000000002
31000774;1008299810;1.8099999999999992;5.399999999999999;1.8099999999999992;6.599999999999999
31000774;30983335;2.2759999999999994;6.833333333333333;2.2759999999999994;7.33333333333333
31000774;30964904;;;;
31000774;4590287367;2.7859999999999996;7.366666666666665;2.7859999999999996;7.499999999999998
31000774;1004136874;3.862999999999998;9.716666666666667;3.862999999999998;10.049999999999999
31000774;30984135;2.0869999999999993;5.933333333333332;2.0869999999999993;7.183333333333332
31000774;444056879;2.3869999999999996;6.266666666666667;2.3869999999999996;6.549999999999998
31000774;438566223;4.645999999999997;12.48333333333333;4.645999999999997;13.066666666666668
31000774;993167921;2.3189999999999995;6.133333333333333;2.3189999999999995;6.433333333333331
