osmid,y,x,street_count,highway,geometry
6238316992,-13.5556505,-71.8557468,3,,POINT (-71.85574680000001 -13.5556505)
4428261825,-13.5065388,-72.0027222,3,,POINT (-72.00272219999999 -13.5065388)
6238316993,-13.5558259,-71.855942,3,,POINT (-71.855942 -13.5558259)
2015930826,-13.5152544,-71.9884341,4,,POINT (-71.98843410000001 -13.5152544)
7360448973,-13.5507991,-71.8707462,1,,POINT (-71.8707462 -13.5507991)
993167823,-13.5251747,-71.9829977,4,,POINT (-71.9829977 -13.5251747)
966367489,-13.5204461,-71.9540942,3,,POINT (-71.9540942 -13.5204461)
30984657,-13.5242359,-71.971878,4,,POINT (-71.971878 -13.5242359)
31001042,-13.5306715,-71.973512,3,,POINT (-71.973512 -13.5306715)
30984660,-13.5239315,-71.9732853,3,,POINT (-71.9732853 -13.5239315)
798886356,-13.5710895,-71.8273501,4,,POINT (-71.8273501 -13.5710895)
30984662,-13.5240316,-71.9735087,3,,POINT (-71.9735087 -13.5240316)
798886359,-13.5705485,-71.8279456,3,,POINT (-71.82794560000001 -13.5705485)
798886368,-13.5680976,-71.8308236,3,,POINT (-71.8308236 -13.5680976)
3738278149,-13.5153303,-71.9877435,3,,POINT (-71.98774349999999 -13.5153303)
31001066,-13.5337842,-71.9865925,4,,POINT (-71.9865925 -13.5337842)
31001067,-13.5332302,-71.9852292,3,,POINT (-71.98522920000001 -13.5332302)
10841606636,-13.5502536,-71.8812503,3,,POINT (-71.8812503 -13.5502536)
993167855,-13.524957,-71.9780166,4,,POINT (-71.9780166 -13.524957)
31001076,-13.5367475,-71.9870044,3,,POINT (-71.9870044 -13.5367475)
4428261882,-13.5062178,-71.996806,3,,POINT (-71.99680600000001 -13.5062178)
993167868,-13.5263551,-71.9806185,3,,POINT (-71.98061850000001 -13.5263551)
31001086,-13.538984,-71.9833339,3,,POINT (-71.98333390000001 -13.538984)
993167872,-13.5257301,-71.9815422,3,,POINT (-71.98154220000001 -13.5257301)
31001088,-13.5371708,-71.983856,3,,POINT (-71.983856 -13.5371708)
31001090,-13.5359777,-71.9838187,3,,POINT (-71.9838187 -13.5359777)
31001091,-13.5342766,-71.9819044,3,,POINT (-71.9819044 -13.5342766)
31001092,-13.5335193,-71.9813223,3,,POINT (-71.9813223 -13.5335193)
30984709,-13.5289712,-71.9692498,3,,POINT (-71.9692498 -13.5289712)
30984710,-13.529536,-71.9685365,4,,POINT (-71.9685365 -13.529536)
31001101,-13.5375202,-71.9805705,1,,POINT (-71.9805705 -13.5375202)
31001102,-13.5372591,-71.9812073,4,,POINT (-71.98120729999999 -13.5372591)
31001105,-13.5394063,-71.982106,3,,POINT (-71.982106 -13.5394063)
31001108,-13.5385396,-71.9811884,1,,POINT (-71.98118839999999 -13.5385396)
993167892,-13.5254577,-71.9822571,3,,POINT (-71.9822571 -13.5254577)
31001110,-13.5380941,-71.9822441,3,,POINT (-71.9822441 -13.5380941)
31001109,-13.5383439,-71.9816656,4,,POINT (-71.9816656 -13.5383439)
993167896,-13.5249973,-71.9800201,3,,POINT (-71.9800201 -13.5249973)
10809780761,-13.5479355,-71.877776,4,,POINT (-71.877776 -13.5479355)
30984731,-13.5251191,-71.9685648,3,,POINT (-71.9685648 -13.5251191)
10818890275,-13.53162,-71.9023968,3,,POINT (-71.90239680000001 -13.53162)
31001128,-13.5402388,-71.9862842,3,,POINT (-71.9862842 -13.5402388)
31001130,-13.5415685,-71.9854057,3,,POINT (-71.9854057 -13.5415685)
31001137,-13.5418773,-71.98574,3,,POINT (-71.98574000000001 -13.5418773)
993167921,-13.5255339,-71.978679,4,,POINT (-71.978679 -13.5255339)
30984755,-13.5205065,-71.9692638,4,,POINT (-71.96926379999999 -13.5205065)
30984756,-13.5204335,-71.9692524,3,,POINT (-71.9692524 -13.5204335)
798886451,-13.5682037,-71.8298899,3,,POINT (-71.8298899 -13.5682037)
1005300278,-13.5521572,-71.9911972,3,,POINT (-71.9911972 -13.5521572)
31001143,-13.5386365,-71.9864209,3,,POINT (-71.9864209 -13.5386365)
31001141,-13.5394319,-71.9864648,3,,POINT (-71.98646479999999 -13.5394319)
31001149,-13.5421996,-71.9837977,3,,POINT (-71.9837977 -13.5421996)
31001152,-13.5443922,-71.9868921,4,,POINT (-71.98689210000001 -13.5443922)
6996494912,-13.5429133,-71.915902,3,,POINT (-71.915902 -13.5429133)
993167940,-13.5247182,-71.9856085,3,,POINT (-71.9856085 -13.5247182)
7009651272,-13.5253394,-71.9278624,3,,POINT (-71.9278624 -13.5253394)
6996494920,-13.5431905,-71.9152173,4,,POINT (-71.91521729999999 -13.5431905)
7009651274,-13.524584,-71.9287509,3,,POINT (-71.9287509 -13.524584)
30984781,-13.5226478,-71.9707342,4,,POINT (-71.9707342 -13.5226478)
30984782,-13.5225748,-71.9707172,3,,POINT (-71.9707172 -13.5225748)
31001168,-13.5462169,-71.9843548,3,,POINT (-71.98435480000001 -13.5462169)
7009651283,-13.5242207,-71.9289853,3,,POINT (-71.92898529999999 -13.5242207)
6209219162,-13.5287249,-71.9975668,3,,POINT (-71.9975668 -13.5287249)
4428261990,-13.5162603,-71.993049,3,,POINT (-71.993049 -13.5162603)
10817727079,-13.5281657,-71.8968335,3,,POINT (-71.8968335 -13.5281657)
30984808,-13.5192075,-71.9687892,3,,POINT (-71.9687892 -13.5192075)
30984812,-13.5186567,-71.9686394,3,,POINT (-71.9686394 -13.5186567)
30984813,-13.51733,-71.9682785,4,,POINT (-71.9682785 -13.51733)
30984818,-13.5178863,-71.9690289,3,,POINT (-71.9690289 -13.5178863)
472615553,-13.5217305,-71.9498197,4,,POINT (-71.94981970000001 -13.5217305)
4427836038,-13.5412836,-71.9631778,1,,POINT (-71.9631778 -13.5412836)
30984839,-13.5180222,-71.9684666,4,,POINT (-71.9684666 -13.5180222)
30984840,-13.5182832,-71.9673868,4,,POINT (-71.9673868 -13.5182832)
472615558,-13.5213262,-71.9486669,3,,POINT (-71.94866690000001 -13.5213262)
472615572,-13.5212099,-71.9521179,3,,POINT (-71.9521179 -13.5212099)
3269626520,-13.5222112,-71.9861484,3,,POINT (-71.9861484 -13.5222112)
4428262046,-13.5294811,-71.9638392,3,,POINT (-71.9638392 -13.5294811)
4428262048,-13.5295622,-71.9631332,3,,POINT (-71.9631332 -13.5295622)
4428262049,-13.5278291,-71.9638414,3,,POINT (-71.96384140000001 -13.5278291)
4428262051,-13.5500099,-71.8762231,3,,POINT (-71.8762231 -13.5500099)
