osmid,street_count,highway,ref,geometry,courthouse_osmid,courthouse_dist
4379328066,3,,,POINT (-76.7050964 -11.9428841),487183431,0.07369188960978583
4938677827,4,,,POINT (-76.9883786 -12.0726016),4818433021,0.012160970327242636
6302973508,3,,,POINT (-77.07682250000001 -12.0471995),465071802,0.0186617874974628
1639104067,3,,,POINT (-77.0426083 -12.0846734),4469386913,0.008875728257441137
1379581509,3,,,POINT (-77.05620070000001 -12.0275459),465071802,0.016135592053511665
1330495047,4,,,POINT (-77.0578809 -11.9852895),301604752,0.00388344878885376
4938677833,3,,,POINT (-76.98866820000001 -12.0706101),4818433021,0.0130873117044768
4938677835,4,,,POINT (-76.9886168 -12.0704026),4818433021,0.013123208952845536
1273904718,3,,,POINT (-76.9072144 -12.210078),458599264,0.02597995353646682
471055951,4,traffic_signals,,POINT (-76.94623919999999 -12.0627366),3949420739,0.021011578534234115
1330495061,4,,,POINT (-77.05675220000001 -11.9795436),301604752,0.009675490655158811
5398609495,3,,,POINT (-77.0759704 -12.0578618),465071802,0.02899625191192778
1379581527,3,,,POINT (-77.0569685 -12.028154),465071802,0.015321875049047081
31080028,3,motorway_junction,6A,POINT (-77.01571680000001 -12.0397382),4502742822,0.020418937835742598
263405153,4,traffic_signals,,POINT (-77.0346796 -12.0754069),4469386913,0.005589375700379793
108019300,4,,,POINT (-77.02702290000001 -12.1027286),437675773,0.006275270542769432
263405157,4,,,POINT (-77.03158329999999 -12.0749549),4469386913,0.006720363654598531
108019302,4,,,POINT (-77.0276152 -12.1028209),437675773,0.0068719319645104224
1379581542,4,,,POINT (-77.0442834 -12.0285823),3965041957,0.021996378821294873
1273970279,4,,,POINT (-77.12772649999999 -11.8275275),679438717,0.11944786433729707
1946304105,3,,,POINT (-77.0121185 -12.0038702),5519669522,0.00408003734296527
639123058,4,,,POINT (-77.07297010000001 -12.076627),4469386913,0.03868640223774227
844545651,4,,,POINT (-77.1013064 -12.0076982),465071802,0.036081027592860866
1840954996,3,,,POINT (-76.9871895 -12.0736539),4818433021,0.010763415108596743
4736630389,5,,,POINT (-76.926625 -12.1796951),6695199631,0.033170158858977214
1379581563,4,,,POINT (-77.0581048 -12.0290663),465071802,0.014156157142157984
1330495105,4,,,POINT (-77.05785210000001 -11.9853933),301604752,0.0038015713356716625
1379581595,5,,,POINT (-77.05762199999999 -12.0296219),465071802,0.014648072716374255
3183623835,4,,,POINT (-76.9647377 -12.1344883),408686631,0.02684676911016203
3183623836,4,,,POINT (-76.9641135 -12.1351789),408686631,0.025968423161854343
1379581600,3,,,POINT (-77.0570261 -12.0299223),465071802,0.015256778585381629
31080098,4,,,POINT (-77.0187328 -12.0405431),4438338989,0.01754237516700527
3672981159,4,,,POINT (-77.07667429999999 -12.046559),465071802,0.018004495951381094
2177253031,3,,,POINT (-76.9617336 -12.0466515),439195372,0.005395306690083498
