osmid,street_count,highway,ref,geometry,police_osmid,police_dist,police_nearestnode
2900121007,3,,,POINT (-77.1609259 -11.7694235),318783371,0.010641122364786532,5067664501
8069338543,3,,,POINT (-77.0288534 -12.0335997),4159187995,0.002882513434490225,6131453650
1572591025,3,,,POINT (-76.858918 -12.2274677),8547110884,0.0005623397549599599,1273456988
306533809,4,,,POINT (-77.132546 -12.062643),319641192,0.04034758604639594,317337823
2900121012,3,,,POINT (-77.16094940000001 -11.7690719),318783371,0.0108408067887807,5067664501
3996636596,3,,,POINT (-77.0992703 -12.0374582),319639890,0.02194398140962166,1359117147
3996636598,3,,,POINT (-77.09904229999999 -12.036521),319639890,0.021076919842302432,1359117147
263935415,4,traffic_signals,,POINT (-77.01868349999999 -12.1020276),4154264090,0.004945648767362248,263942200
8230720952,3,,,POINT (-76.9103959 -11.9806431),4526521090,0.013980208526701466,1746019001
4553201081,4,,,POINT (-77.041094 -12.1170957),406037578,0.012225790442448906,138854662
5437707706,4,,,POINT (-76.9443984 -12.1432004),319748958,0.008672636841254557,4282250015
5437707703,4,,,POINT (-76.9405501 -12.1409675),319748958,0.012995798870502943,4282250015
943248828,4,traffic_signals,,POINT (-76.95223 -12.2157063),318181467,0.014156455985667475,1654984167
306533820,4,,,POINT (-77.14669979999999 -12.063718),319641192,0.05421418374467928,317337823
5437707708,4,,,POINT (-76.9455073 -12.1448332),319748958,0.006729583385352231,4282250015
1752585660,4,,,POINT (-76.942821 -12.0282616),319336059,0.01453946711205126,2974519498
309581246,3,,,POINT (-77.12289389999999 -12.0740041),319641192,0.030397701351690537,317337823
1752585668,3,,,POINT (-76.9284871 -12.0339737),318783827,0.011905047298730952,4276497606
471061960,4,traffic_signals,,POINT (-76.95654519999999 -12.071588),522343719,0.0007216318964810798,471061960
1752585679,4,,,POINT (-76.9329614 -12.0391847),318783827,0.018727473273072524,4276497606
1754944978,3,,,POINT (-77.0194515 -12.0280283),319596622,0.0042594908057428035,6030015789
1273517523,4,,,POINT (-76.9744431 -12.0495028),319647076,0.0051724199922760904,1273530429
1572591067,4,,,POINT (-76.9207341 -12.1954858),319736547,0.008695757389535931,1273624964
309581275,4,,,POINT (-77.1110065 -12.0784157),319641192,0.02019984842550217,317337823
309581276,4,,,POINT (-77.1126611 -12.0779957),319641192,0.02153588079881632,317337823
4372813279,3,,,POINT (-77.0824896 -12.0058258),319639890,0.014895489026172925,1359117147
1273583072,4,,,POINT (-76.89652700000001 -12.2501644),454376511,0.003323489437159492,1828245692
1572591079,4,,,POINT (-76.92206590000001 -12.1906284),319736547,0.01124882665887128,1273624964
1757042153,4,,,POINT (-76.98345310000001 -12.1251234),544235966,0.011676010600748585,386850820
5017032170,4,,,POINT (-76.9400442 -11.983284),7448091,0.004709422086903379,5022418621
4372813291,3,,,POINT (-77.0825466 -12.0055759),319639890,0.015129572931372057,1359117147
4412069354,4,,,POINT (-77.00987689999999 -12.0516305),443652071,0.0013142387145118925,1368673193
1754945001,3,traffic_signals,,POINT (-77.0176481 -12.0293658),789725461,0.0033822154780944642,6039926607
1317787119,3,,,POINT (-77.0058149 -11.9600129),4444185291,0.007009252945215793,3700156125
1572591088,3,,,POINT (-76.85655250000001 -12.2304021),8547110884,0.003241725745640223,1273456988
309581295,3,,,POINT (-77.1130788 -12.0763462),319641192,0.021347625436810545,317337823
309581290,3,,,POINT (-77.1131273 -12.0763301),319641192,0.021388640564795086,317337823
1943098867,3,,,POINT (-77.0419194 -12.0606431),413025636,0.003126540318766848,1856633179
1943098870,4,traffic_signals,,POINT (-77.05670670000001 -12.0786289),495775877,0.006311638758966137,263389392
306763255,4,,,POINT (-77.1219229 -12.0556064),319641192,0.03232015601469334,317337823
306763256,3,,,POINT (-77.1219736 -12.0554706),319641192,0.03242496204936469,317337823
306763254,4,,,POINT (-77.1218714 -12.0557742),319641192,0.032201143262380966,317337823
471062011,4,traffic_signals,,POINT (-76.958344 -12.067857),4487686413,0.003222087304838107,1596309660
5065397757,3,,,POINT (-77.0253483 -12.1192198),436899388,0.0016370719666792613,114612758
5560030719,3,,,POINT (-77.0124843 -12.0582066),438080051,0.003402340200879841,791159985
5711943167,3,,,POINT (-76.9337567 -12.0404228),893234647,0.01922344652493432,1574755994
513857026,4,,,POINT (-76.8683348 -12.2787648),7125383823,0.005193125649356321,513800887
263116292,3,,,POINT (-77.0288267 -12.0866835),319331711,0.0037505354560290493,263122105
263116293,3,,,POINT (-77.0284304 -12.0844442),319331711,0.0016959059088603454,263122105
471062016,4,traffic_signals,,POINT (-76.9608298 -12.0626269),4487686413,0.008757030766762382,1596309660
471062020,3,,,POINT (-76.9643557 -12.0551561),563664314,0.005012554576023013,1746775119
471062018,4,,,POINT (-76.96301920000001 -12.0580413),563664314,0.008050318671903077,1746775119
1723586057,4,,,POINT (-76.96255739999999 -12.1780682),437657902,0.00920113361607858,1753089102
5711943178,3,,,POINT (-76.9475341 -12.0475783),893234647,0.009784918997365123,1574755994
4362196491,3,,,POINT (-77.10446090000001 -12.024716),319639890,0.019506305032721008,1359117147
