osmid,street_count,highway,ref,geometry,bank_osmid,bank_dist,bank_nearestnode
416652551,4,,,POINT (-77.02891200000001 -12.0604122),4351715001,0.0006423277434424487,486243091
4578581771,3,,,POINT (-77.0489474 -12.08547),4042420888,0.004872932054721801,263109777
3707018513,4,,,POINT (-77.0240185 -12.1290709),434674318,0.001982611201010795,1839448882
2469993750,3,,,POINT (-77.0609106 -12.0091778),3604565389,0.0002541324457869154,2469993750
1403460893,4,traffic_signals,,POINT (-77.09825050000001 -12.0497582),3962797297,0.01342831410751366,3812840428
263396644,3,,,POINT (-77.04419780000001 -12.0750756),436314041,0.0015875739998976414,263397626
5209333028,3,,,POINT (-77.0145655 -11.8632489),4574298791,0.01071317543074868,1814195041
273947942,3,,,POINT (-77.1540411 -11.7584636),4347967864,0.060023567787995814,4346787536
8211340591,3,,,POINT (-76.9969529 -11.9421944),4462741791,0.013118257391896057,1343139601
1273896240,4,,,POINT (-76.9144847 -12.0254659),7516064786,0.0054720737458492106,1575898153
5027405115,3,,,POINT (-77.00296659999999 -11.8524721),4574298791,0.02482103235403822,1814195041
1273470268,4,,,POINT (-76.9193058 -12.0025228),7516064786,0.023252783715074433,1575898153
5027405122,3,,,POINT (-77.0029239 -11.8523648),4574298791,0.024935255476936004,1814195041
1273568581,4,,,POINT (-76.950737 -12.1459085),4352901055,0.01300426570206269,2166922184
606182727,3,,,POINT (-77.0641562 -12.0858394),436286887,0.003941148485478819,4347743565
1804901704,4,,,POINT (-76.99320400000001 -12.0165654),437360394,0.009908319335451773,493839484
273423689,4,,,POINT (-77.0681834 -11.9665849),4422580277,0.0019233345860753177,549107324
1403460938,3,,,POINT (-77.0966873 -12.0496505),3962797297,0.013455622085210728,3812840428
1403460939,4,,,POINT (-77.0962492 -12.0520223),3962797297,0.011096222135934057,3812840428
1403460941,4,,,POINT (-77.0960911 -12.0529892),3962797297,0.010140055722233728,3812840428
1804901710,4,,,POINT (-76.99828909999999 -12.0166783),437360394,0.005546658313770576,493839484
606182735,4,,,POINT (-77.067601 -12.0840662),435713315,0.0034855754994682626,316809590
606182733,3,,,POINT (-77.06650310000001 -12.0844401),435713315,0.003665006252722553,316809590
606182739,4,traffic_signals,,POINT (-77.06638719999999 -12.083459),435713315,0.0026843322526269482,316809590
606182740,4,traffic_signals,,POINT (-77.0661707 -12.08354),435713315,0.0027788246422705163,316809590
606182747,4,,,POINT (-77.0645971 -12.0848302),436270969,0.00426786939016258,1943098881
2469993820,3,,,POINT (-77.0610861 -12.0098325),3604565389,0.0008380151072630416,2469993750
1804901725,3,,,POINT (-76.9943925 -12.016697),437360394,0.008862836058234146,493839484
2179702111,4,,,POINT (-76.9344279 -12.0285276),438019700,0.007915985812828841,2179702589
1804901730,4,,,POINT (-76.99331119999999 -12.016752),437360394,0.009877368331215594,493839484
1804901732,3,,,POINT (-76.9931266 -12.016764),437360394,0.010052963997432114,493839484
1330494643,3,,,POINT (-77.0584372 -11.9810642),439816917,0.00020206331928880817,1330494643
846634344,4,,,POINT (-77.0861637 -12.025545),2696510044,0.0050475477630233705,847511646
1804901736,3,,,POINT (-76.9895904 -12.0166878),4916727221,0.00807718120386276,821623929
1273863533,4,,,POINT (-76.9664403 -12.1509822),5010414115,0.004439695369052028,1795359953
1273699694,4,,,POINT (-77.0081402 -12.1445981),561049825,0.002392373089649296,434289266
5027405169,3,,,POINT (-77.0021227 -11.8499066),4574298791,0.027468609038318527,1814195041
4053998970,4,,,POINT (-77.1162604 -11.9767288),5064371778,0.02660153917539869,1384280732
4053998971,5,,,POINT (-77.0997072 -11.9836849),4806813122,0.01787184488574187,1305702158
5734473084,3,,,POINT (-76.89069480000001 -12.0352898),439816323,0.020966410123099702,2887143235
5734473086,3,,,POINT (-76.89106870000001 -12.0358011),439816323,0.021290131851733413,2887143235
4053998977,4,,,POINT (-77.0115113 -12.0720448),437680674,0.00030375768704743607,316629530
1273732482,3,,,POINT (-77.07022360000001 -12.0281885),2737507587,0.003393798019918874,6996716831
4365524355,3,,,POINT (-77.0758227 -11.9712708),5090368821,0.008055178699444847,5043583248
263630442,4,traffic_signals,,POINT (-77.0268959 -12.1248229),4351464707,0.0011928298621289985,108191739
1273503116,4,,,POINT (-76.962878 -12.1981073),6416609277,0.0010365946748879132,1674228150
603757967,4,traffic_signals,,POINT (-77.0945541 -12.0300537),7335358985,0.0008399183055535296,847511626
603757969,4,traffic_signals,,POINT (-77.09450699999999 -12.0298487),7335358985,0.0010501438425306409,847511626
499588497,5,,,POINT (-77.0102454 -12.0257569),1863374482,0.0030363941723779925,821389381
603757972,3,,,POINT (-77.09404619999999 -12.0245241),7335358985,0.0063893529727205465,847511626
4376370583,3,,,POINT (-76.761956 -11.9740243),4749878325,0.011724952419948214,1570070883
3401227674,4,,,POINT (-77.0148363 -12.1029313),4366536183,0.004187983076620559,370967339
273423771,3,,,POINT (-77.0743793 -11.9672208),4422580277,0.007631332612988828,549107324
499588507,4,,,POINT (-77.01988780000001 -12.0274676),1863374482,0.012394702650742726,821389381
3401227675,4,,,POINT (-77.01504060000001 -12.1032649),4366536183,0.003842912083304893,370967339
1273896350,4,traffic_signals,,POINT (-77.0522445 -12.0570815),4336231305,0.0016985019899907238,915282148
1941642654,3,,,POINT (-76.99719450000001 -12.0138593),437360394,0.005327413845077204,493839484
603757985,4,,,POINT (-77.09152349999999 -12.0226514),7335358985,0.008823439495461237,847511626
1273634210,4,,,POINT (-76.915312 -12.2414246),5016817424,0.011534262238217451,3756733832
3401227678,4,,,POINT (-77.01555860000001 -12.1025),4366536183,0.0038727374104132843,370967339
