osmid,street_count,highway,ref,geometry,school_osmid,school_dist
1256325701,4,traffic_signals,,POINT (-77.0477518 -11.9151491),5574473645,0.001416935990090876
1814004295,4,,,POINT (-77.0300853 -11.8779767),5574157533,0.0010402234038991206
821756488,4,,,POINT (-77.01114680000001 -12.0178157),1966842392,0.0005820958855730317
611484233,3,,,POINT (-77.0823372 -12.0780942),242947331,0.0033258297794536967
847512138,4,,,POINT (-77.08789899999999 -12.0296872),438038736,0.001384184270461652
847512139,4,,,POINT (-77.0881129 -12.0301706),438038736,0.0010485762499487705
847512140,4,,,POINT (-77.0882574 -12.0305204),438038736,0.0009171273836491532
847512135,4,,,POINT (-77.0891254 -12.0290432),5565257222,0.0007462089050667307
847512144,4,,,POINT (-77.08968590000001 -12.0303678),5565273240,0.0008465182159842235
1951269457,3,,,POINT (-77.003694 -11.996303),1966842469,0.0007748747318159399
4261053019,4,,,POINT (-77.08705569999999 -11.9964533),5565191413,0.0013174709256631243
1399063132,3,,,POINT (-77.0588482 -12.0607028),2054044558,0.0019031108953447785
1399063134,4,,,POINT (-77.0573631 -12.0589885),2054044558,0.0012715116436738155
1399063151,4,,,POINT (-77.05366189999999 -12.0587091),2054044576,0.0012720614843625313
1844839026,4,,,POINT (-77.0023616 -12.1741533),5254778438,0.0007264677900632735
4796023415,3,,,POINT (-76.9265022 -12.1783552),5597137005,0.003299298695174894
391021177,4,,,POINT (-77.0144837 -12.1413033),5595075563,0.0015571354019492892
391021178,4,,,POINT (-77.0151467 -12.140731),5595075563,0.0011930772355589526
391021179,4,,,POINT (-77.0160881 -12.1399016),5595075567,0.001496294787132012
4202660476,4,,,POINT (-76.9664848 -12.1456191),5597206725,0.0014403735105898998
331597632,4,traffic_signals,,POINT (-77.1050475 -12.071973),109013001,0.0023244194566726154
4337566340,3,,,POINT (-77.03172000000001 -12.0954218),5594916161,0.0030787172523680582
1843102342,3,,,POINT (-77.09962090000001 -12.0344995),426065710,0.0057699633296522095
2761654924,3,,,POINT (-76.98494650000001 -12.1602089),5597231480,0.001874632134582024
1843102351,3,,,POINT (-77.099273 -12.0356168),426065710,0.005361983487372774
5615223441,3,,,POINT (-76.8976218 -11.9754714),5595313409,0.001944498727174923
5615223444,3,,,POINT (-76.89843190000001 -11.976185),5596743156,0.0022318047405631377
624493225,3,,,POINT (-77.11243810000001 -12.0726521),436257932,0.005461127039895547
4334474649,3,,,POINT (-77.03491219999999 -11.9011009),5597269826,0.00038845851773014885
1399063217,3,,,POINT (-77.0553488 -12.0633756),5577341970,0.00037839928646543863
1399063223,3,,,POINT (-77.0548446 -12.0635445),5577341970,0.0008829122549866521
8982463159,3,,,POINT (-76.99089480000001 -12.0155773),5596832543,0.0010701457938053786
