osmid,y,x,highway,street_count,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
5718663864,-11.9748659,-76.7739939,,3,POINT (-76.77399389999999 -11.9748659),4749878325,1570070883,674.9570000000001,487183431,1524458694,915.1290000000001,483500696,4762470517,4669.054000000001,487183429,1273900349,809.0430000000001,318959257,1273778804,1778.0030000000004,5596732113,1745790456,295.014,,,
5718663865,-11.975704,-76.7736254,,3,POINT (-76.7736254 -11.975704),4749878325,1570070883,575.3420000000001,487183431,1524458694,815.5140000000001,483500696,4762470517,4596.986000000001,487183429,1273900349,709.4280000000001,318959257,1273778804,1678.3880000000004,5596732113,1745790456,336.679,,,
5718663867,-11.9798134,-76.7743323,,3,POINT (-76.7743323 -11.9798134),1863374455,331604739,391.93199999999996,487183431,1524458694,736.8489999999999,483500696,4762470517,4731.396000000002,487183429,1273900349,632.819,318959257,1273778804,985.8469999999999,5596732098,2910190235,79.921,,,
5718663875,-11.9790321,-76.7750066,,3,POINT (-76.7750066 -11.9790321),1863374455,331604739,293.32099999999997,487183431,1524458694,638.238,483500696,4762470517,4612.505000000001,817953105,1745790471,513.389,318959257,1273778804,1104.738,5596732098,2910190235,128.434,,,
5718663877,-11.98411,-76.7723803,,3,POINT (-76.77238029999999 -11.98411),1863374455,331604739,1053.149,487183431,1524458694,1398.0659999999998,483500696,4762470517,5315.007000000002,487183429,1273900349,1294.0359999999998,318959257,1273778804,1697.1620000000003,5596732098,2910190235,631.394,,,
5718663878,-11.9827187,-76.7718591,,1,POINT (-76.7718591 -11.9827187),4749878325,1570070883,1102.376,487183431,1524458694,1340.492,483500696,4762470517,5257.433000000002,487183429,1273900349,1236.462,318959257,1273778804,1639.5880000000002,5596732098,2910190235,573.82,,,
5718663882,-11.9813833,-76.7737434,,1,POINT (-76.7737434 -11.9813833),1863374455,331604739,721.3199999999999,487183431,1524458694,1066.2369999999999,483500696,4762470517,4983.178000000003,487183429,1273900349,962.207,318959257,1273778804,1365.333,5596732098,2910190235,299.565,,,
5718663884,-11.9769156,-76.7768724,,3,POINT (-76.7768724 -11.9769156),1863374455,331604739,315.456,487183431,1524458694,662.429,483500696,4762470517,4217.993,817953105,1745790471,670.8910000000001,318959257,1273778804,1525.303,5596732099,1273501082,52.611,,,
5718667955,-11.9869399,-76.7985408,,3,POINT (-76.7985408 -11.9869399),1863374455,331604739,3589.942,487183431,1524458694,3936.915,483500696,4762470517,5863.822000000003,818103399,1745790482,2585.912,4423758389,1273621776,6427.534,817307804,7638908239,4059.846000000001,,,
5718680919,-11.9855561,-76.8049331,,3,POINT (-76.8049331 -11.9855561),1863374455,331604739,3512.3450000000003,487183431,1524458694,3859.318,483500696,4762470517,2239.715,483500666,8858981459,2039.749,4423758389,1273621776,1684.2310000000002,5580666576,5718680920,81.035,,,
5718680920,-11.9848411,-76.8050772,,3,POINT (-76.8050772 -11.9848411),1863374455,331604739,3476.48,487183431,1524458694,3823.453,483500696,4762470517,2158.6800000000003,483500666,8858981459,1958.714,4423758389,1273621776,1603.1960000000001,5580666576,5718680920,0.0,,,
5718685136,-11.9828874,-76.796544,,1,POINT (-76.796544 -11.9828874),1863374455,331604739,2591.881,487183431,1524458694,2938.854,483500696,4762470517,4865.761000000001,818103399,1745790482,1587.8509999999999,4423758389,1273621776,5429.472999999999,817307804,7638908239,3061.7850000000008,,,
5718685138,-11.9819714,-76.7967741,,3,POINT (-76.79677409999999 -11.9819714),1863374455,331604739,2486.996,487183431,1524458694,2833.969,483500696,4762470517,4760.876000000001,818103399,1745790482,1482.966,4423758389,1273621776,5324.588,817307804,7638908239,2956.9000000000005,,,
5718685139,-11.983099,-76.7957904,,1,POINT (-76.7957904 -11.983099),1863374455,331604739,2558.7050000000004,487183431,1524458694,2905.6780000000003,483500696,4762470517,4832.585000000002,818103399,1745790482,1554.675,4423758389,1273621776,5396.297,817307804,7638908239,3028.609000000001,,,
