osmid,ref,highway,street_count,geometry,NN,NN_dist
1273974708,,,3,POINT (-77.11105379999999 -11.8289703),5499086523,0.0021602810233903318
1273975095,,,4,POINT (-77.0688938 -11.8688919),1273639049,0.0023785377461795704
1273983059,,,3,POINT (-77.05989 -11.8664746),5984044880,0.0029687775211348455
1273983116,,,4,POINT (-77.1093789 -11.8332005),1756212199,0.0015905318513063087
1273985861,,,3,POINT (-77.101641 -11.8433672),7575681832,0.00042010779569187753
1382690281,,,3,POINT (-77.07453150000001 -11.9144587),1382690281,0.0
1382690285,,,3,POINT (-77.0744432 -11.9146575),1382690285,0.0
1382690288,,,3,POINT (-77.0741898 -11.9147254),1382690303,0.00017537745009023827
1382690294,,,3,POINT (-77.07486609999999 -11.9151346),1382690285,0.0006375490726137513
1382690297,,,3,POINT (-77.07419 -11.9153755),5589066957,0.00017172192638522122
1382690298,,,3,POINT (-77.0747088 -11.9154272),5589066957,0.0006649568783015007
1382690302,,,3,POINT (-77.0751806 -11.9155719),1382690309,0.0007593002633995478
1382690303,,,3,POINT (-77.0741783 -11.9149004),1382690303,0.0
1382690307,,,3,POINT (-77.0746919 -11.9158454),5589066955,0.0008351050353082452
1382690308,,,3,POINT (-77.0749457 -11.9157727),1382690309,0.0007970651165311756
1382690309,,,3,POINT (-77.07562729999999 -11.9161859),1382690309,0.0
1382690310,,,3,POINT (-77.0758058 -11.9164299),1382690310,0.0
1382690313,,,4,POINT (-77.07523759999999 -11.9164855),1382690309,0.0004915549308058849
1382690318,,,3,POINT (-77.0748021 -11.9167904),1382690323,0.0008009421077646929
1382690319,,,4,POINT (-77.075423 -11.9169042),1382690310,0.0006095049876715451
1382690320,,,3,POINT (-77.0761907 -11.9169674),1382690320,0.0
1382690323,,,3,POINT (-77.07404200000001 -11.9170429),1382690323,0.0
1382690327,,,3,POINT (-77.0764617 -11.917346),1382690327,0.0
1382690328,,,4,POINT (-77.0756269 -11.9173649),1382690320,0.000689838162175854
1382690332,,,3,POINT (-77.07604689999999 -11.9176504),1382690327,0.0005145079202507516
1382690335,,,3,POINT (-77.07584749999999 -11.9177968),1382690327,0.0007618807518246216
1382690336,,,3,POINT (-77.0742451 -11.917913),5049084202,0.00028171148361789776
1382690337,,,3,POINT (-77.0756837 -11.9179159),1382690327,0.0009644013739079136
1382690339,,,3,POINT (-77.0748548 -11.9179278),1382690341,0.0004902099652121064
1382690341,,,3,POINT (-77.07445180000001 -11.9182069),1382690341,0.0
1382690344,,,3,POINT (-77.0751427 -11.9183094),1382690341,0.0006984619245121958
1382690352,,,4,POINT (-77.0772363 -11.91856),1382690352,0.0
1382690355,,,3,POINT (-77.07677700000001 -11.9187769),1382690352,0.00050793907113893
1382690356,,,3,POINT (-77.0775014 -11.918952),1382690352,0.0004732251155686421
1382690358,,,3,POINT (-77.0763261 -11.9189907),1382690352,0.001006959050799727
1382690359,,,3,POINT (-77.07621570000001 -11.9190421),1382690352,0.0011287359168468084
1382690360,,,3,POINT (-77.0770649 -11.9191748),1382690352,0.0006382452506685887
1382690361,,,4,POINT (-77.0756344 -11.9193166),1382690363,0.0004899200342920727
1382690362,,,4,POINT (-77.0765425 -11.9194357),1382690352,0.0011172327107593705
1382690363,,,3,POINT (-77.0752014 -11.9195458),1382690363,0.0
1382690364,,,3,POINT (-77.07730479999999 -11.9195529),1382690352,0.000995260096657952
1382690365,,,3,POINT (-77.0758589 -11.9197343),1382690363,0.0006839872074852933
1382690366,,,3,POINT (-77.076894 -11.9197545),1382690352,0.0012425777802620207
1382690368,,,3,POINT (-77.0767237 -11.9198381),1382690352,0.0013770614982614787
1382690369,,,3,POINT (-77.0764758 -11.9199541),1382690363,0.0013382093446092694
1382690373,,,3,POINT (-77.0760387 -11.9201586),1382690363,0.0010375910225141273
1382690376,,,3,POINT (-77.07782539999999 -11.9202719),1382690352,0.00181042548037728
1382690379,,,3,POINT (-77.0785133 -11.9203815),1382690352,0.002224542930582592
1382690386,,,3,POINT (-77.07744889999999 -11.9205415),1382690400,0.001594176056773565
1382690388,,,3,POINT (-77.0781152 -11.9206722),1382690404,0.0021050640845390106
1382690390,,,3,POINT (-77.07712239999999 -11.9207709),1382690400,0.0011951717575279408
1382690391,,,3,POINT (-77.07879610000001 -11.9207911),3460626702,0.0017656019256839784
1382690394,,,3,POINT (-77.0770437 -11.9208262),1382690400,0.0010989953639636832
1382690396,,,3,POINT (-77.07841120000001 -11.9210735),3460626702,0.0017639536416735669
1382690397,,,3,POINT (-77.07665299999999 -11.9211102),1382690400,0.0006163928941811674
1382690399,,,4,POINT (-77.0773631 -11.9212196),1382690404,0.0011748853603689008
1382690400,,,3,POINT (-77.0761352 -11.9214446),1382690400,0.0
1382690402,,,3,POINT (-77.07871780000001 -11.921655),3460626702,0.001146664981578547
1382690403,,,3,POINT (-77.07759729999999 -11.9216705),1382690409,0.0011477831502507603
1382690404,,,3,POINT (-77.07640499999999 -11.9218996),1382690404,0.0
1382690406,,,3,POINT (-77.07893799999999 -11.9220728),3460626702,0.0007467519132894363
1382690407,,,3,POINT (-77.0795605 -11.9222182),3460626702,0.00014672085741054624
1382690408,,,3,POINT (-77.07778570000001 -11.9223365),1382690413,0.0009674719634213177
1382690409,,,3,POINT (-77.07667189999999 -11.9223495),1382690409,0.0
1382690410,,,4,POINT (-77.0791687 -11.9225078),3460626702,0.000491877799863766
1382690411,,,4,POINT (-77.078006 -11.9227391),1382690419,0.0009595894799336051
1382690412,,,3,POINT (-77.0787855 -11.9227911),3460626702,0.0009575003498696607
1382690413,,,4,POINT (-77.0770047 -11.9229075),1382690413,0.0
1382690414,,,3,POINT (-77.0783833 -11.9230884),1382690419,0.0011765754756878244
1382690416,,,3,POINT (-77.07824720000001 -11.9231891),1382690419,0.001027502238444129
1382690418,,,3,POINT (-77.078079 -11.9233134),1382690419,0.0008537537115577687
1382690419,,,3,POINT (-77.0772254 -11.9232972),1382690419,0.0
1382690423,,,3,POINT (-77.0796584 -11.9234695),931752096,0.0006854520041545832
1382690428,,,3,POINT (-77.08027800000001 -11.9236281),931752096,0.0006501069527406184
1382690430,,,3,POINT (-77.0792654 -11.9237399),931752096,0.0011584155946824455
1382690434,,,3,POINT (-77.07783379999999 -11.9238506),1382690451,0.0007713270771868722
1382690435,,,4,POINT (-77.07989310000001 -11.9239085),931752096,0.0009526414645579954
1382690439,,,3,POINT (-77.0788972 -11.9239931),931752096,0.0016036391271105695
1382690443,,,3,POINT (-77.07950169999999 -11.9241935),931752096,0.0013657867769183412
1382690450,,,3,POINT (-77.0778734 -11.9244335),1382690451,0.0005292646313603732
1382690451,,,3,POINT (-77.07734429999999 -11.9244467),1382690451,0.0
1382690452,,,3,POINT (-77.0803614 -11.9244707),931752096,0.0014949512801430164
1382690453,,,3,POINT (-77.0790878 -11.9244949),1382690451,0.0017441661302788438
1382690460,,,3,POINT (-77.0806254 -11.9248796),931752096,0.001947831969139932
1382690462,,,3,POINT (-77.07976739999999 -11.9249502),931752096,0.001996134108721546
1382690463,,,4,POINT (-77.0812458 -11.925022),1382724978,0.0016104377945094332
1382690465,,,4,POINT (-77.0814286 -11.9251211),1382724978,0.0014086616201226532
1382690466,,,3,POINT (-77.07894779999999 -11.9251178),1382690451,0.001738271399984817
1382690469,,,3,POINT (-77.0785034 -11.9252886),1382690451,0.0014325880147554135
1382690470,,,3,POINT (-77.0808153 -11.9253191),1382724978,0.0018085889112799283
1382690471,,,3,POINT (-77.07996420000001 -11.9253788),931752096,0.002395047895136911
1382690473,,,3,POINT (-77.0779412 -11.9254321),1382690451,0.001152086268473292
1382690475,,,3,POINT (-77.0814397 -11.9254443),1382724978,0.0012000936005112837
1382690476,,,3,POINT (-77.07911 -11.9255481),1382690505,0.0020269873531873965
1382690477,,,3,POINT (-77.0795607 -11.9256789),1382690505,0.002325192349029584
1382690478,,,3,POINT (-77.0810116 -11.9257742),1382724978,0.001474114680073093
